txdate,storecode,tillid,tendercode,cashfloat,cashfloatbase,depositdr,depositdrbase,depositcr,depositcrbase,salesdr,salesdrbase,salescr,salescrbase,pettycash,pettycashbase,cashlift,cashliftbase,excessmoney
2010-01-01 00:00:00.000,11014,36,LF,0.00,0.00,0.00,0.00,0.00,0.00,352.40,352.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,AG,0.00,0.00,0.00,0.00,0.00,0.00,29743.30,29743.30,809.00,809.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,AG,0.00,0.00,0.00,0.00,0.00,0.00,113302.30,113302.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,11,XD,0.00,0.00,0.00,0.00,0.00,0.00,9474.20,9474.20,10563.20,10563.20,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,DK,0.00,0.00,0.00,0.00,0.00,0.00,8245.50,8245.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,AG,0.00,0.00,0.00,0.00,0.00,0.00,27806.60,27806.60,258.00,258.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,AG,0.00,0.00,0.00,0.00,0.00,0.00,30453.50,30453.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,CH,500.00,500.00,0.00,0.00,0.00,0.00,16460.60,16460.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,AG,0.00,0.00,0.00,0.00,0.00,0.00,48915.00,48915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,DK,0.00,0.00,0.00,0.00,0.00,0.00,10757.00,10757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,DK,0.00,0.00,0.00,0.00,0.00,0.00,15658.10,15658.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,OT,0.00,0.00,0.00,0.00,0.00,0.00,22765.00,22765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,XD,0.00,0.00,0.00,0.00,0.00,0.00,4591.00,4591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,AG,0.00,0.00,0.00,0.00,0.00,0.00,46568.20,46568.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,16,AG,0.00,0.00,0.00,0.00,0.00,0.00,31147.40,31147.40,390.00,390.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,XD,0.00,0.00,0.00,0.00,0.00,0.00,2679.50,2679.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,16,CH,0.00,0.00,0.00,0.00,0.00,0.00,8623.00,8623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,DK,0.00,0.00,0.00,0.00,0.00,0.00,9352.50,9352.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,XD,0.00,0.00,0.00,0.00,0.00,0.00,53627.70,53627.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,LF,0.00,0.00,0.00,0.00,0.00,0.00,559.00,559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,AG,0.00,0.00,0.00,0.00,0.00,0.00,37592.50,37592.50,908.00,908.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,ST,0.00,0.00,0.00,0.00,0.00,0.00,1481.80,1481.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,DK,0.00,0.00,0.00,0.00,0.00,0.00,10493.60,10493.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,AG,0.00,0.00,0.00,0.00,0.00,0.00,85917.40,85917.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,XD,0.00,0.00,0.00,0.00,0.00,0.00,2736.60,2736.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,AG,0.00,0.00,0.00,0.00,0.00,0.00,30931.00,30931.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,XD,0.00,0.00,0.00,0.00,0.00,0.00,5287.10,5287.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,LF,0.00,0.00,0.00,0.00,0.00,0.00,1170.50,1170.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,14,AG,0.00,0.00,0.00,0.00,0.00,0.00,100065.00,100065.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,AG,0.00,0.00,0.00,0.00,0.00,0.00,56987.50,56987.50,428.00,428.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,XD,0.00,0.00,0.00,0.00,0.00,0.00,7474.00,7474.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,09,AG,0.00,0.00,0.00,0.00,0.00,0.00,32995.00,32995.00,1030.00,1030.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,AG,0.00,0.00,0.00,0.00,0.00,0.00,9534.00,9534.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,OT,0.00,0.00,0.00,0.00,0.00,0.00,40729.00,40729.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,29,CH,500.00,500.00,0.00,0.00,0.00,0.00,2294.00,2294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,OT,0.00,0.00,0.00,0.00,0.00,0.00,21963.50,21963.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,LF,0.00,0.00,0.00,0.00,0.00,0.00,1198.00,1198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,DK,0.00,0.00,0.00,0.00,0.00,0.00,4976.10,4976.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,XD,0.00,0.00,0.00,0.00,0.00,0.00,7812.90,7812.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,35,CH,500.00,500.00,0.00,0.00,0.00,0.00,5025.10,5025.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
