season,desci,longdesc,nwseason
C78470,東方既白,NULL,C78470
C78560,花店,NULL,C78560
C78570,NEW YORK NEW YORK(紐,NULL,C78570
C78580,正一味,NULL,C78580
C78660,TOYSMART(愛兒瑪),NULL,C78660
C79470,SAIAH(賽雅),SAIAH(賽雅),C79470
C79500,華東自營家品,華東自營家品,C79500
C79660,3721斯瑞夫曼,NULL,C79660
C79830,AOLORA(奧柔拉),NULL,C79830
C79940,浩泰,NULL,C79940
C80010,BARNIE,NULL,C80010
C80080,SUNMERIT,SUNMERIT,C80080
C80220,味多美,NULL,C80220
C80420,SEEUSOON,NULL,C80420
C80440,WENGER,NULL,C80440
C80500,VISHARK,NULL,C80500
C81010,HAMA,NULL,C81010
C81080,GXG,NULL,C81080
C81120,彩票,NULL,C81120
C81130,老北京炸醬麵,NULL,C81130
C81610,SMG,NULL,C81610
C81810,呷哺呷哺,NULL,C81810
C82490,JACK WOLFSKIN(狼爪),NULL,C82490
C82750,GNC(格蕾絲一族),NULL,C82750
C82840,HERRAY,HERRAY,C82840
C82900,寶曼,NULL,C82900
C82920,AMPHI,NULL,C82920
C82960,HARDRIVE,NULL,C82960
C83110,SI WEI ER(緦緯爾),NULL,C83110
C83120,KING'S PASPE,NULL,C83120
C83280,VEVA,NULL,C83280
C83490,HAVAIANAS,NULL,C83490
C83510,OLB/OU LUO BA(歐羅巴,NULL,C83510
C83590,GRACEGIRL(格蕾格爾),NULL,C83590
C83720,SHI YING(詩影),NULL,C83720
C84180,ALPHABET（愛法貝）,NULL,C84180
C84690,PLORY,NULL,C84690
C84870,釉色,NULL,C84870
C85020,杉杉,NULL,C85020
C85080,TIME YOUR TIME,NULL,C85080
C85230,幸福來,NULL,C85230
C85470,精彩無限,NULL,C85470
C85480,FOREVER NEW,NULL,C85480
C85540,FIVE PLUS,NULL,C85540
C85710,RBIKE(騎達),NULL,C85710
C85930,大黃蜂,NULL,C85930
C86360,TELENT(天倫天),NULL,C86360
C86380,LIFE(今生),NULL,C86380
C86470,G'ART,G'ART,C86470
C86620,BADISDY,NULL,C86620
C86630,HERDSMAN(牧馬人),NULL,C86630
C87800,J.X.J-XI(簡兮),NULL,C87800
C88050,瑪奴拉,NULL,C88050
C88060,全聚福,NULL,C88060
C88070,新山水行,NULL,C88070
C88080,優捷宜,NULL,C88080
C88160,SNOWFORTE(思諾芙德),NULL,C88160
C88470,SKAP,NULL,C88470
C88930,AVENE(雅漾),NULL,C88930
C89300,SOCK SEA,SOCK SEA,C89300
C89630,林清軒,NULL,C89630
C89710,KONIN(康印),KONIN(康印),C89710
C89820,ATTOS,NULL,C89820
C89880,居元素,NULL,C89880
C90200,LUMI,NULL,C90200
C90600,ZIEYAGM,NULL,C90600
C90910,CELDEN,NULL,C90910
C91160,ACME(阿珂姆),NULL,C91160
C91260,拉薇,NULL,C91260
C92000,提籟雅,NULL,C92000
C92160,ALPHA FEMELLE(法米拉,NULL,C92160
C92180,EMINENT HIPPO,NULL,C92180
C92380,DELUXE AND VINCI/D&V,NULL,C92380
C92390,ZEBRINA百瑞納,NULL,C92390
C92540,VANS,NULL,C92540
C92860,空中天使,NULL,C92860
C92890,摩根及麥洛,NULL,C92890
C92900,GIGO(智高),NULL,C92900
C92910,MALI MARI HOME,NULL,C92910
C93500,LES LUNEIDES,NULL,C93500
C93700,BEFLY(芭特爾芙萊),NULL,C93700
C94080,PAUL FRANK,NULL,C94080
C94360,D.F.J.MEI,NULL,C94360
C94870,舒寵,NULL,C94870
C95100,善玉緣,NULL,C95100
C95260,COZY STEPS,NULL,C95260
C95370,ARIKI,NULL,C95370
C95520,JOLIE&DEEN,NULL,C95520
C95660,哈.貝比,NULL,C95660
C95820,大雄珠寶,NULL,C95820
C95990,TIGRISSO(蹀愫),NULL,C95990
C96160,GTS,NULL,C96160
C96330,VERY SIAM(暹羅泰),NULL,C96330
C96360,福兒樂,NULL,C96360
C96380,TRENDIANO,NULL,C96380
C96430,ILE NATURAL FIBRE PR,ILE NATURAL FIBRE PRODUCT GROUP,C96430
C97200,XII,NULL,C97200
C97260,PETIT OISEAU(普提托,PETIT OISEAU(普提托瓦茲),C97260
C97820,LTG,NULL,C97820
C98410,VERLA,VERLA,C98410
C98960,EVE DE UOMO,NULL,C98960
C99670,25',NULL,C99670
C99720,AEROSOLES(愛柔仕),NULL,C99720
D01130,曼哥夫,NULL,D01130
D01200,竹林詩語,NULL,D01200
D01220,FOSSIL,NULL,D01220
D01310,建儂,NULL,D01310
D01440,江湖一味,NULL,D01440
D01550,AMIAMO,NULL,D01550
D01570,LES 100 CIELS,NULL,D01570
D01580,G.JAMEI,NULL,D01580
D01770,MC EARL,NULL,D01770
D01790,YIXIZHIDI(一席之地),NULL,D01790
D01880,GEROLAMO,NULL,D01880
D02040,諾奇,NULL,D02040
D02160,BANILA CO,NULL,D02160
D02180,EAU RAVIE,NULL,D02180
D02270,HONGSHITI(紅詩緹),NULL,D02270
D03300,木九十,NULL,D03300
D03680,GT.MISS,NULL,D03680
D03990,AQUA E SOLE(阿索),NULL,D03990
D04030,ENC,NULL,D04030
D04250,KISS KITTY,NULL,D04250
D04860,恒昌,NULL,D04860
D05290,瀾指軒,NULL,D05290
D05400,KOLON SPORT,NULL,D05400
D05550,ECAPELLI(卡佩麗),NULL,D05550
D05580,寶玉瑪,NULL,D05580
D05690,莎巴美甲,NULL,D05690
D05970,NUOYALUN(諾.婭倫),NULL,D05970
D06600,茜茜公主,NULL,D06600
D06830,LANYOUTY,NULL,D06830
D07740,瑞勵教育,NULL,D07740
D07750,英孚教育,NULL,D07750
D08570,金三塔,NULL,D08570
D08600,RMEO,NULL,D08600
D08820,UGIZ,NULL,D08820
D09630,MARIE N MARY,NULL,D09630
D09650,SHEEPET(舒寵),NULL,D09650
D09770,多彩匯,NULL,D09770
D09780,聖大保儸,NULL,D09780
D09790,本色棉,NULL,D09790
D09830,戈林斯丹,NULL,D09830
D09980,格萊詩特,NULL,D09980
D09990,格雅,NULL,D09990
D10090,GELANO,NULL,D10090
D10180,OCTMAMI,NULL,D10180
D10190,IBYINGLN,NULL,D10190
D10200,39.BAN,NULL,D10200
D10210,貝洛泥,NULL,D10210
D10480,RADIANA,NULL,D10480
D10610,DAIWEN'S 岱汶,NULL,D10610
D10730,NINESIXNY96,NULL,D10730
D10810,偉易達,NULL,D10810
D11690,呆呆玩呆呆了,NULL,D11690
D11860,輕鬆點水吧,NULL,D11860
D11990,彩票機,NULL,D11990
D13350,DKNY,NULL,D13350
D13720,DYSON(戴森),DYSON戴森  ,D13720
D14740,DOUZE,NULL,D14740
D15020,CELE,NULL,D15020
D15320,ABS(愛彼此),ABS(愛彼此),D15320
D15500,CK,NULL,D15500
D15650,著品,NULL,D15650
D16540,貝德瑪,NULL,D16540
D17870,Lee,NULL,D17870
D18050,BUYINUOSI,NULL,D18050
D18060,黑松白鹿,NULL,D18060
D18230,KAPPA KIDS 兒童,NULL,D18230
D18240,詩格恩,NULL,D18240
D18970,MASKLEGEND 膜法傳奇,NULL,D18970
D19240,LOL,LOL,D19240
D19390,維珍妮,維珍妮,D19390
D19400,CAITHNESS&BOROWSKI,Caithness & BOROWSKI,D19400
D19410,BLK,BLK,D19410
D19420,DRILL,DRILL,D19420
D20410,溫純,NULL,D20410
D21280,綠典,NULL,D21280
D21340,PORTOFINO,NULL,D21340
D22240,CAN TORP(駱駝戶外),NULL,D22240
D22300,AMERICAN TOURISTER,NULL,D22300
D22430,BLUEMEMORY,NULL,D22430
D22870,JEEPLOUD,NULL,D22870
D22920,初妝,NULL,D22920
D23050,春雪,NULL,D23050
D23070,莫索,NULL,D23070
D23800,EBRA,NULL,D23800
D24630,OMNLALUO,NULL,D24630
D24640,MEI YIN(美銀),NULL,D24640
D24690,老廟黃金,NULL,D24690
D25440,T-126,NULL,D25440
D26560,JEAN,NULL,D26560
D27090,CHARM GODDESS,NULL,D27090
D27300,PERIC(派瑞),Peric(派瑞),D27300
D27350,太湖雪,NULL,D27350
D27440,奧迪雙鉆,NULL,D27440
D27810,LAGOGO,NULL,D27810
D28110,阿芙/AFU,NULL,D28110
D28410,MORNING,NULL,D28410
D28420,YGAOR,NULL,D28420
D28460,ADVANTURER,NULL,D28460
D29450,N多壽司,NULL,D29450
D29460,周黑鴨,NULL,D29460
D29970,RAZUULA拉度拉,NULL,D29970
D30000,變形金剛,NULL,D30000
D30010,G1,NULL,D30010
D30570,RONGJINSHENG(絨錦晟),NULL,D30570
D30800,KANOJAO,NULL,D30800
D30830,麥雅,NULL,D30830
D30880,棉源素語,NULL,D30880
D31080,AQIDUO(阿奇朵),NULL,D31080
D31920,CHYRA,NULL,D31920
D32460,LIN'S,NULL,D32460
D32990,沙馳運動,NULL,D32990
D33460,ABCKIDS,NULL,D33460
D34040,PEDONBOLO(培頓保羅),NULL,D34040
D34990,JHS嘉合舜,NULL,D34990
D35000,HKBEEMAX+圖形,NULL,D35000
D35490,馥綠德雅,NULL,D35490
D35880,尚品金尊,NULL,D35880
D36300,水孩儿,NULL,D36300
D36460,悅蘭珠寶,NULL,D36460
D37600,ICEPEAK,NULL,D37600
