season,desci,longdesc,nwseason
A55310,ERDOS(鄂爾多斯),NULL,A55310
A55690,BEAR TWO STYLE(B2),NULL,A55690
A55770,天王,NULL,A55770
A55860,GOWANI(喬萬尼),NULL,A55860
A56000,MILENO(米蓮諾),NULL,A56000
A56030,SANROCHER(聖琪兒),NULL,A56030
A56130,桑扶蘭,NULL,A56130
A56230,好易通,NULL,A56230
A56480,ROSSINI(羅西尼),NULL,A56480
A57000,HONG(紅蜻蜓),NULL,A57000
A57120,BETU(百圖),NULL,A57120
A58380,HEAT WAVE(熱浪),NULL,A58380
A58520,J&M,NULL,A58520
A59970,PEPCO(小豬班納),NULL,A59970
A61100,ROWENTA(好運達),NULL,A61100
A62100,UNITED COLORS OF BEN,NULL,A62100
A62740,STACCATO(思加圖),NULL,A62740
A63340,KUHLE(皓),NULL,A63340
A63530,SNOWLOTUS(雪蓮),SNOWLOTUS(雪蓮),A63530
A63910,KAIWANG(愷王),NULL,A63910
A63920,ROMASTER(羅馬世家),NULL,A63920
A63940,SELON(勝龍),NULL,A63940
A63960,ST&SAT(星期六),NULL,A63960
A67240,GALADAY,NULL,A67240
A67290,ZHAOJUN(兆君),NULL,A67290
A67620,P.YOP.YO(黃色小鴨),NULL,A67620
A67720,BRAUN(博朗),NULL,A67720
A67890,RED EARTH,NULL,A67890
A68030,CARTELO(卡帝樂),NULL,A68030
A68460,波司登（BOSIDENG),NULL,A68460
A68680,CHOW TAI FOOK(周大福,NULL,A68680
A80780,LA MAISON DE DOMITIL,NULL,A80780
A81200,ECCO(愛步),NULL,A81200
A81330,LITTLE BOBDOG(巴布豆,NULL,A81330
A81360,TANI(亭宜),TANI(亭宜),A81360
A81650,AVENIR (艾文莉),NULL,A81650
A81780,HARSON(哈森),NULL,A81780
A81980,PASSION(鋇萱),NULL,A81980
A82260,GRACEWELL(婷美),NULL,A82260
A82810,GARFIELD(加菲貓),NULL,A82810
A82820,ETAM WEEKEND(周末),NULL,A82820
A83950,寶島,NULL,A83950
A87430,COLUMBIA/GELUNBIYA/C,NULL,A87430
B01360,瑞恩,NULL,B01360
B03740,PEARL LIFE(珍珠生活),NULL,B03740
B06240,GUJIN(古今),NULL,B06240
B06270,FARO(法羅),NULL,B06270
B06310,G2000,NULL,B06310
B06350,SHUIHAIER(水孩兒),NULL,B06350
B06550,TR/BECA(翠貝卡),NULL,B06550
B07220,SK-II,NULL,B07220
B07570,T.G. TOP GLORIA(湯普,NULL,B07570
B08080,DUNLOP,NULL,B08080
B08420,TEENMIX(天美意),NULL,B08420
B08430,HONGKEE(紅科),NULL,B08430
B09560,HANES(海恩斯),NULL,B09560
B10480,MIRABELL(美麗寶),NULL,B10480
B10510,秋水伊人,NULL,B10510
B10750,味千拉面,NULL,B10750
B13410,SPEEDO,NULL,B13410
B13550,DKNY,NULL,B13550
B13630,LEVI'S(利惠),NULL,B13630
B13660,THE NORTH FACE(樂斯,NULL,B13660
B13690,DIESEL,NULL,B13690
B13810,JOCKEY,NULL,B13810
B13820,SLOGGI,NULL,B13820
B13850,EMINENT(安邁特雅士),NULL,B13850
B14080,吉普動感,NULL,B14080
B14140,NAERSI(娜爾思),NULL,B14140
B14320,ZHENBEI(珍貝),NULL,B14320
B17500,OGAWA,NULL,B17500
B18470,YU MEI(寓美),NULL,B18470
B18700,FILA,NULL,B18700
B19130,ANTA(安踏),NULL,B19130
B21070,APPLE(蘋果),APPLE(蘋果),B21070
B22310,CONVERSE(匡威 ),CONVERSE(匡威 ),B22310
B22580,KING DEER(鹿王),KING DEER(鹿王),B22580
B23170,GIORGIO ARMANI,NULL,B23170
B24460,PUMA(彪馬),PUMA(彪馬),B24460
B29660,RED ROSER(紅玫瑰),NULL,B29660
B31500,HERO(英雄),NULL,B31500
B34690,MARIE CLAIRE,MARIE CLAIRE,B34690
B34820,莎莎,NULL,B34820
B34920,WRANGLER,NULL,B34920
B35750,HAAGEN DAZS(哈根達斯,HAAGEN DAZS(哈根達斯),B35750
B36300,水孩兒,NULL,B36300
B37680,VICTORINOX(維氏),NULL,B37680
B37960,SCHOLL(爽健),NULL,B37960
B39790,DIADORA(迪阿多納),NULL,B39790
B39860,SMART TOYS(聰明兒童),NULL,B39860
B41090,CITIZEN(西鐵城),NULL,B41090
B41490,KISS CAT,NULL,B41490
B41580,西村名物,NULL,B41580
B42540,OQO(歐克歐),NULL,B42540
B43690,KADINA(卡迪娜),NULL,B43690
B44320,JINLIBAO(金利寶),NULL,B44320
B45740,銀馬頭,NULL,B45740
B46080,ANNIL(安奈兒),NULL,B46080
B46520,LA CHAPELLE(拉夏貝爾,NULL,B46520
B46760,CHJ JEWELLERY/CHAOHO,CHJ JEWELLERY/CHAOHONGJI(潮宏基),B46760
B46800,MILLIE'S(妙麗),NULL,B46800
B48320,JACK&JONES,NULL,B48320
B48420,NOCHI(諾琪),NULL,B48420
B48440,木真了,NULL,B48440
B48450,HENGDI(恆地),NULL,B48450
B50190,EVE(依文),NULL,B50190
B50790,BOSS,NULL,B50790
B51040,賽絲特,NULL,B51040
B51450,BASTO(百思圖),NULL,B51450
B52220,SINOMAX(絲露夢/賽諾),NULL,B52220
B52340,CI.PRES,NULL,B52340
B53040,YUWA CO.LTO(友和),YUWA CO.LTO(友和),B53040
B53070,SINAINA(斯乃納),NULL,B53070
B53450,FANDECIE(芬狄詩),NULL,B53450
B53560,SASSI(莎茜),NULL,B53560
B54030,DUN NU(敦奴),NULL,B54030
B54170,VERO MODA,NULL,B54170
